级别	日期和时间	来源	事件 ID	任务类别
错误	2018/11/30 0:01:33	Microsoft-Windows-DistributedCOM	10016	无	"应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19)授予针对 CLSID 为 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
、APPID 为 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
错误	2018/11/30 0:00:19	Microsoft-Windows-DistributedCOM	10016	无	"应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 DESKTOP-NSOMGCA\Administrator SID (S-1-5-21-2722894958-2044559392-3717969139-500)授予针对 CLSID 为 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
、APPID 为 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
错误	2018/11/29 23:57:51	Microsoft-Windows-DistributedCOM	10016	无	"应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 DESKTOP-NSOMGCA\Administrator SID (S-1-5-21-2722894958-2044559392-3717969139-500)授予针对 CLSID 为 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
、APPID 为 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
信息	2018/11/29 23:39:58	Microsoft-Windows-Ntfs	98	无	卷 L: (\Device\HarddiskVolume18) 运行状况良好。无需执行任何操作。
信息	2018/11/29 23:39:57	Microsoft-Windows-Ntfs	98	无	卷 K: (\Device\HarddiskVolume17) 运行状况良好。无需执行任何操作。
错误	2018/11/29 23:39:57	Microsoft-Windows-Ntfs	98	无	"卷 J: (\Device\HarddiskVolume16) 需要脱机一段时间以执行完整的 Chkdsk。请在本机通过命令行运行 ""CHKDSK /F""，或者在本机或远程通过 PowerShell 运行 ""REPAIR-VOLUME <驱动器:>""。"
信息	2018/11/29 23:39:56	Microsoft-Windows-Ntfs	98	无	卷 I: (\Device\HarddiskVolume15) 运行状况良好。无需执行任何操作。
信息	2018/11/29 23:23:29	Microsoft-Windows-Ntfs	98	无	卷 L: (\Device\HarddiskVolume14) 运行状况良好。无需执行任何操作。
信息	2018/11/29 23:23:28	Microsoft-Windows-Ntfs	98	无	卷 K: (\Device\HarddiskVolume13) 运行状况良好。无需执行任何操作。
错误	2018/11/29 23:23:27	Ntfs	55	无	"在卷 J: 上的文件系统结构中发现了损坏。

损坏的确切性质未知。需要联机扫描文件系统结构。
"
错误	2018/11/29 23:23:27	Microsoft-Windows-Ntfs	98	无	"卷 J: (\Device\HarddiskVolume12) 需要脱机一段时间以执行完整的 Chkdsk。请在本机通过命令行运行 ""CHKDSK /F""，或者在本机或远程通过 PowerShell 运行 ""REPAIR-VOLUME <驱动器:>""。"
信息	2018/11/29 23:23:26	Microsoft-Windows-Ntfs	98	无	卷 I: (\Device\HarddiskVolume11) 运行状况良好。无需执行任何操作。
信息	2018/11/29 23:05:18	Service Control Manager	7040	无	Background Intelligent Transfer Service 服务的启动类型从 自动启动 更改为 按需启动。
